"","state_abbr","date","traf"
"510","OH",2020-05-10,-34.1123251985733
"511","NM",2020-05-10,-27.9526953036775
"512","NH",2020-05-10,-38.1359230441054
"513","TN",2020-05-10,-5.46776511212005
"514","RI",2020-05-10,-24.5262820989263
"515","TX",2020-05-10,-23.0528422893779
"516","US",2020-05-10,-27.4049806807547
"517","VA",2020-05-10,-31.1454227692474
"518","VT",2020-05-10,-42.2995406312728
"519","VT",2020-05-09,-46.791678110002
"520","VA",2020-05-09,-33.4992901803187
"521","US",2020-05-09,-25.1914753342714
"522","TX",2020-05-09,-19.6617194359265
"523","RI",2020-05-09,-34.0614760058364
"524","TN",2020-05-09,-4.82794428990965
"525","NH",2020-05-09,-47.3893407928419
"526","NM",2020-05-09,-25.6452223326261
"527","OH",2020-05-09,-35.1334120834073
"528","NC",2020-05-09,-26.975866853204
"529","MT",2020-05-09,-15.6071654584477
"530","MO",2020-05-09,-19.0792503479592
"531","MI",2020-05-09,-39.8835334253135
"532","MA",2020-05-09,-49.5781452350981
"533","LA",2020-05-09,-14.3470442228956
"534","IN",2020-05-09,-25.6215694658946
"535","IL",2020-05-09,-27.1364568557791
"536","FL",2020-05-09,-15.3419873796608
"537","CO",2020-05-09,-26.5078320140538
"538","AZ",2020-05-09,-21.4460962454608
"539","CT",2020-05-09,-44.7217253741715
"540","WA",2020-05-08,-24.0317114593235
"541","US",2020-05-08,-28.30757002089
"542","VA",2020-05-08,-36.1885242550706
"543","TX",2020-05-08,-23.2178785615522
"544","TN",2020-05-08,-21.3543039132579
"545","OH",2020-05-08,-36.6309164787755
"546","RI",2020-05-08,-36.0592763930665
"547","NH",2020-05-08,-33.7463910196288
"548","NM",2020-05-08,-26.9630554557903
"549","NC",2020-05-08,-31.6562618085128
"550","MT",2020-05-08,-21.7104756779438
"551","MA",2020-05-08,-41.1093886855263
"552","MI",2020-05-08,-43.1694962463547
"553","MO",2020-05-08,-28.5024752398152
"554","LA",2020-05-08,-15.7661490040819
"555","IN",2020-05-08,-30.0611021315755
"556","IL",2020-05-08,-31.585218612317
"557","CT",2020-05-08,-44.4342041722728
"558","FL",2020-05-08,-18.6179966895102
"559","CO",2020-05-08,-26.9481150107675
"560","AZ",2020-05-08,-21.780643136719
"561","AZ",2020-05-07,-20.110534601026
"562","CO",2020-05-07,-26.1933913929711
"563","FL",2020-05-07,-20.8180103719929
"564","IL",2020-05-07,-27.5590267331229
"565","IN",2020-05-07,-23.4332020489112
"566","LA",2020-05-07,-15.574065179775
"567","MO",2020-05-07,-32.6893932587653
"568","MI",2020-05-07,-37.8988157152525
"569","MA",2020-05-07,-41.3065822144945
"570","MT",2020-05-07,-23.2357519331199
"571","NC",2020-05-07,-29.1579932848864
"572","NM",2020-05-07,-25.3082428003908
"573","NH",2020-05-07,-29.0069038721609
"574","RI",2020-05-07,-35.2751266855694
"575","OH",2020-05-07,-29.9822114206601
"576","TN",2020-05-07,-9.30290157877388
"577","TX",2020-05-07,-21.6103292765571
"578","VA",2020-05-07,-37.5924086659726
"579","US",2020-05-07,-25.8835803106929
"580","WA",2020-05-07,-23.3947332398742
"581","WA",2020-05-06,-28.104242587439
"582","US",2020-05-06,-26.9029585770231
"583","VA",2020-05-06,-41.5443687259281
"584","TX",2020-05-06,-19.7233286687445
"585","TN",2020-05-06,-14.2877768220061
"586","RI",2020-05-06,-35.5848679307519
"587","NH",2020-05-06,-29.4341657536382
"588","NM",2020-05-06,-23.7220963500507
"589","OH",2020-05-06,-31.7064453121141
"590","NC",2020-05-06,-30.1811726317589
"591","MT",2020-05-06,-21.1399889507209
"592","MA",2020-05-06,-42.3658494173489
"593","MI",2020-05-06,-37.0429916466063
"594","MO",2020-05-06,-34.1807337177895
"595","LA",2020-05-06,-13.0003039946538
"596","IN",2020-05-06,-25.4013986520796
"597","IL",2020-05-06,-29.0796984280358
"598","FL",2020-05-06,-20.9728316865499
"599","CT",2020-05-06,-43.8527889198505
"600","CO",2020-05-06,-24.5255627383193
"601","AZ",2020-05-06,-21.1023016518122
"602","AZ",2020-05-05,-20.1365701653562
"603","CO",2020-05-05,-24.4250390197891
"604","CT",2020-05-05,-39.4701658951694
"605","FL",2020-05-05,-20.2053747246882
"606","IL",2020-05-05,-32.7782621932337
"607","IN",2020-05-05,-29.294503809564
"608","LA",2020-05-05,-13.8558238619041
"609","MO",2020-05-05,-36.1018917811528
"610","MI",2020-05-05,-39.929113626502
"611","MA",2020-05-05,-40.6216024286012
"612","MT",2020-05-05,-17.9437465249886
"613","NC",2020-05-05,-31.4514221887066
"614","OH",2020-05-05,-32.7829282047455
"615","NM",2020-05-05,-23.7766779684845
"616","NH",2020-05-05,-29.1025990028486
"617","RI",2020-05-05,-33.9513929443791
"618","TN",2020-05-05,-16.0419402942002
"619","TX",2020-05-05,-21.6533564437987
"620","VA",2020-05-05,-36.7153266789245
"621","US",2020-05-05,-27.4542936837925
"622","WA",2020-05-05,-23.7128636187253
